,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
0,Arkansas,38307,534898,2839798,120672,1753433,106300,48417,31413,32851,4985,10113,12247,6594,3918,15893,6882,35035,3472,9626,13309,12574,8110,4995,6116,3888,2174,05,2010,18.83577635,6.882042257
1,Alabama,40474,888290,4666970,248032,2931536,123900,69366,50699,48522,7845,13926,18677,10988,7590,17366,9983,60912,6123,13652,20420,20897,13125,10886,7709,3390,3019,01,2010,19.03354853,8.460820539
2,Alaska,64576,69279,696822,32938,449435,241400,68263,50797,43895,4335,15884,17779,6676,4858,18514,9408,62250,9178,13111,22871,21329,10447,8272,6137,2058,1289,02,2010,9.942137303,7.328757217
3,Arizona,46789,1094249,6272686,328756,3804683,168800,134311,91203,85565,11418,26631,32701,23171,12723,35923,14424,112357,12004,23622,34498,40042,22159,18933,12806,6398,6306,04,2010,17.44466406,8.640825004
4,California,57708,5783043,36593372,2240800,23349907,370900,403459,296573,277415,35677,60895,107726,79987,49710,121293,52603,337780,35083,75172,129738,135602,72342,53311,42222,18111,12407,06,2010,15.80352584,9.596612098
5,Colorado,54046,659786,4934178,247349,3194530,236600,117642,73296,67324,6321,17220,27125,18879,11740,24535,12307,91548,8948,20302,30085,29617,23089,14137,7241,5066,2135,08,2010,13.37175108,7.742891756
6,Connecticut,64032,350145,3466977,183265,2220078,288800,71100,46333,43027,3453,8035,9988,13122,12252,12461,6170,54069,4280,8767,29463,19455,7604,6705,6351,3964,2771,09,2010,10.09943245,8.254890143
7,Delaware,55847,103427,874321,38792,553769,243600,19061,15747,14308,1899,5681,3859,3085,2556,6594,3283,17369,1966,4578,6431,6886,3529,2906,1897,958,904,10,2010,11.82940819,7.005086959
8,District of Columbia,60903,109423,570953,40666,426175,426900,26164,27723,28329,3949,5743,7015,10444,9433,9508,4385,36428,3510,5065,10893,22142,5961,4324,2710,721,726,11,2010,19.16497505,9.542089517
9,Florida,44409,3047343,18436788,1139389,11335279,164200,317381,217579,210274,30779,75199,76465,49476,29785,91042,43052,260469,25531,52000,88618,88875,54777,43639,31514,21383,21516,12,2010,16.52860032,10.05170671
10,Georgia,46430,1688932,9446906,564299,6024027,156200,156197,124285,120707,16692,30947,40661,28910,16930,56311,18581,145520,18564,37629,54659,52036,34848,22785,14703,5498,4270,13,2010,17.87814973,9.367471295
11,Hawaii,63030,142185,1326373,53532,818181,525400,26708,23239,25979,1588,5874,10467,6021,4118,7701,4304,33131,3753,7738,9659,13572,6996,2739,3011,1042,708,15,2010,10.71983522,6.542806543
12,Idaho,43490,242272,1541860,70067,930312,165100,48321,25900,27222,1801,6395,8048,5566,3756,11174,6413,31134,4585,7211,15760,11056,5225,3805,2684,1303,1493,16,2010,15.71297005,7.531559305
13,Illinois,52972,1731711,12543457,709154,8001743,191800,198721,142589,134990,13927,28235,39277,40644,28834,56327,22895,152420,16062,33691,76909,62902,30318,25153,16922,8738,6884,17,2010,13.80569168,8.862494084
14,Kentucky,40062,800226,4215643,213572,2667980,121600,76826,49686,43313,6596,13727,17770,8442,5489,20594,10201,55191,6714,14298,19963,21816,11760,8227,7049,1983,1189,21,2010,18.98229997,8.005007534
15,Indiana,44613,962775,6294417,327647,3982366,123300,101472,68685,61485,9018,17989,18503,16445,10934,30821,10350,77193,7901,18531,30849,29671,14246,13597,8672,3765,2938,18,2010,15.29569776,8.227445694
